alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
3.0,composite,2,4,1,8,40,240,958.2594401981642,0.0021009485817935114,0.001609096076681804,0.5982868671417236
3.0,composite,2,4,2,1,10,410,1639.564860049541,0.0064164199850309505,0.006355003274661097,1.0168497562408447
3.0,composite,2,4,2,2,20,420,1679.129720099082,0.0032144797263723834,0.0031834430344581666,1.0428438186645508
3.0,composite,2,4,2,8,80,480,1916.5188803963283,0.0008064790459146873,0.0007970030715884757,1.1991641521453857
3.0,composite,2,4,4,1,20,820,3279.129720099082,0.00321302671209702,0.0031850835074913597,2.0584771633148193
3.0,composite,2,4,4,2,40,840,3358.259440198164,0.0016080585905088305,0.0015940531173459505,2.109591007232666
3.0,composite,2,4,4,8,160,960,3833.0377607926566,0.0004023038021443138,0.0003988000922994228,2.3905580043792725
3.0,composite,4,2,1,1,1,17,67.86253884168364,0.007765313865019288,0.0014057042247694884,32.373353004455566
3.0,composite,4,2,1,4,4,20,79.45015536673458,0.007268469539529963,0.0003895042454562514,0.10996603965759277
3.0,composite,4,2,1,16,16,32,125.80062146693832,0.007153016742755584,0.00013535695147681714,0.14217090606689453
3.0,composite,4,2,2,1,2,34,135.7250776833673,0.0016900988631317914,0.0006783447362415096,0.2052469253540039
3.0,composite,4,2,2,4,8,40,158.90031073346915,0.0014044587120633193,0.00017093368360787675,0.22200489044189453
3.0,composite,4,2,2,16,32,64,251.60124293387665,0.0013416562242841562,4.4045983305762704e-05,0.2876882553100586
3.0,composite,4,2,4,1,4,68,271.4501553667346,0.0005190889932369193,0.000338483333980899,0.4121358394622803
3.0,composite,4,2,4,4,16,80,317.8006214669383,0.00035407892261358836,8.47040021494383e-05,0.4393930435180664
3.0,composite,4,2,4,16,64,128,503.2024858677533,0.00032108532507088555,2.1249214922747228e-05,0.5621271133422852
3.0,composite,4,2,8,1,8,136,542.9003107334692,0.00019798326335945067,0.00016921694545557475,0.821403980255127
3.0,composite,4,2,8,4,32,160,635.6012429338766,9.980532026988964e-05,4.2311451828869195e-05,0.8867230415344238
3.0,composite,4,2,8,16,128,256,1006.4049717355066,8.179991947232716e-05,1.0582446395512868e-05,1.153977870941162
3.0,composite,4,2,16,1,16,272,1085.8006214669383,8.874873169940943e-05,8.461007079940686e-05,1.6636171340942383
3.0,composite,4,2,16,4,64,320,1271.2024858677532,3.212955685598964e-05,2.1153512193783364e-05,1.7806529998779297
3.0,composite,4,2,16,16,256,512,2012.8099434710132,2.1783679204863757e-05,5.288697067173942e-06,2.2778868675231934
3.0,composite,4,4,1,1,5,405,1619.3126942084182,0.001686258069436,0.0015166268494182233,0.5076940059661865
3.0,composite,4,4,1,4,20,420,1677.250776833673,0.0007588336184066819,0.00037960098892120264,0.5556960105895996
