n,alpha,gamma,p0,pn,c,R,neg,R_env,neg_env,purity,purity_env,x,z,p_success,witness
2,0.2,0.0975,0.049126000000000086,0.7819260000000005,0.1768531594289457,0.25545431885789127,0.09237915942894592,0.019960039987417577,2.220446049250313e-16,0.6906474267040009,0.6906474267040009,0.42561274006667593,-0.8817739443500525,0.8310520000000006,0.25545431885789127
2,0.2,0.1,0.049600000000000095,0.7776000000000001,0.17636326148038903,0.25352652296077793,0.08996326148038913,0.019991835884530795,1.1102230246251565e-16,0.6842598400000002,0.6842598400000004,0.4264102066740546,-0.8800773694390713,0.8272000000000002,0.25352652296077793
2,0.2,0.10250000000000001,0.05008600000000009,0.7732860000000007,0.17587336353183244,0.25157472706366457,0.0875593635318328,0.01999963178164421,4.440892098500626e-16,0.6779414503840013,0.6779414503840014,0.42720268246146886,-0.8783393168579936,0.8233720000000008,0.2515747270636648
2,0.2,0.105,0.05058400000000009,0.7689840000000007,0.1753834655832758,0.2495989311665514,0.08516746558327615,0.01998342767875738,3.3306690738754696e-16,0.6716917066240012,0.6716917066240011,0.427990027876334,-0.8765593581008531,0.8195680000000007,0.2495989311665514
2,0.2,0.1075,0.05109400000000009,0.7646940000000001,0.1748935676347191,0.247599135269438,0.08278756763471917,0.01994322357587075,1.1102230246251565e-16,0.6655100609440003,0.6655100609440002,0.42877210166052715,-0.8747370640411478,0.8157880000000002,0.247599135269438
2,0.2,0.11,0.05161600000000008,0.7604160000000005,0.17440366968616253,0.245575339372325,0.08041966968616276,0.019879019472984094,3.3306690738754696e-16,0.659395969024001,0.6593959690240011,0.42954876085218907,-0.8728720050441361,0.8120320000000006,0.24557533937232479
2,0.2,0.1125,0.05215000000000005,0.7561500000000002,0.17391377173760578,0.24352754347521133,0.07806377173760592,0.019790815370097192,1.1102230246251565e-16,0.6533488900000004,0.6533488900000004,0.43031986078833534,-0.8709637510825188,0.8083000000000002,0.24352754347521155
2,0.2,0.115,0.05269600000000009,0.7518960000000009,0.17342387378904928,0.2414557475780983,0.07571987378904976,0.01967861126721049,5.551115123125783e-16,0.6473682864640016,0.6473682864640015,0.43108525510830104,-0.8690118718555491,0.804592000000001,0.2414557475780983
2,0.2,0.11750000000000001,0.05325400000000009,0.7476539999999999,0.17293397584049255,0.239359951680985,0.0733879758404925,0.01954240716432376,0.0,0.641453624464,0.641453624464,0.43184479575804596,-0.8670159369116051,0.8009080000000001,0.23935995168098478
2,0.2,0.12,0.0538240000000001,0.7434240000000002,0.17244407789193594,0.2372401557838717,0.07106807789193614,0.01938220306143701,2.220446049250313e-16,0.6356043735040005,0.6356043735040006,0.43259833299534367,-0.8649755157742633,0.7972480000000003,0.2372401557838717
2,0.2,0.1225,0.054406000000000086,0.7392060000000001,0.1719541799433793,0.23509635988675837,0.06876017994337946,0.019197998958550233,1.1102230246251565e-16,0.6298200065440004,0.6298200065440003,0.4333457153958843,-0.862890178071904,0.7936120000000002,0.23509635988675837
2,0.2,0.125,0.055000000000000084,0.7350000000000002,0.17146428199482266,0.23292856398964523,0.0664642819948228,0.018989794855663655,1.1102230246251565e-16,0.6241000000000004,0.6241000000000004,0.4340867898603104,-0.860759493670886,0.7900000000000003,0.23292856398964523
2,0.2,0.1275,0.05560600000000014,0.7308060000000006,0.17097438404626614,0.23073676809253207,0.06418038404626647,0.01875759075277683,5.551115123125783e-16,0.6184438337440011,0.6184438337440012,0.4348214016222183,-0.858583032812317,0.7864120000000008,0.23073676809253185
2,0.2,0.13,0.05622400000000014,0.7266240000000007,0.17048448609770953,0.2285209721954189,0.061908486097709936,0.018501386649890206,4.440892098500626e-16,0.6128509911040013,0.6128509911040012,0.43554939425714656,-0.8563603662524524,0.7828480000000009,0.22852097219541867
2,0.2,0.1325,0.05685400000000009,0.7224540000000002,0.16999458814915275,0.22628117629830524,0.05964858814915286,0.018221182547003334,2.220446049250313e-16,0.6073209588640003,0.6073209588640005,0.43627060969258036,-0.8540910654067453,0.7793080000000002,0.22628117629830524
2,0.2,0.135,0.05749600000000009,0.7182960000000006,0.16950469020059616,0.22401738040119223,0.05740069020059646,0.01791697844411666,4.440892098500626e-16,0.601853227264001,0.6018532272640013,0.4369848882189969,-0.8517747024975766,0.7757920000000007,0.224017380401192
