a,kt,gamma,R,neg,margin
1.0,3.075,0.9538103716183199,0.0,7.771561172376096e-16,-4.6650478490330625e-05
1.0,3.1,0.9549507976064422,0.0,2.220446049250313e-16,-4.3279677553514125e-05
1.0,3.125,0.9560630663765926,0.0,3.3306690738754696e-16,-4.015243894067285e-05
1.0,3.1500000000000004,0.9571478731329598,0.0,5.551115123125783e-16,-3.725116368741431e-05
1.0,3.1750000000000003,0.9582058959150801,0.0,4.440892098500626e-16,-3.455952446915672e-05
1.0,3.2,0.9592377960216338,0.0,4.440892098500626e-16,-3.20623737168729e-05
1.0,3.225,0.9602442184237787,0.0,5.551115123125783e-16,-2.9745658372060168e-05
1.0,3.25,0.961225792168278,0.0,1.1102230246251565e-15,-2.7596340801233755e-05
1.0,3.2750000000000004,0.962183130770675,0.0,3.3306690738754696e-16,-2.5602325424847476e-05
1.0,3.3000000000000003,0.96311683259876,0.0,6.661338147750939e-16,-2.375239064776628e-05
1.0,3.325,0.9640274812465703,0.0,5.551115123125783e-16,-2.203612570819594e-05
1.0,3.35,0.964915645899155,0.0,2.220446049250313e-16,-2.0443872089695862e-05
1.0,3.375,0.965781881688334,0.0,3.3306690738754696e-16,-1.8966669166549396e-05
1.0,3.4000000000000004,0.9666267300396739,0.0,6.661338147750939e-16,-1.7596203776615135e-05
1.0,3.4250000000000003,0.9674507190108966,0.0,3.3306690738754696e-16,-1.632476343786415e-05
1.0,3.45,0.9682543636219321,0.0,7.771561172376096e-16,-1.5145192945333487e-05
1.0,3.475,0.9690381661768231,0.0,4.440892098500626e-16,-1.4050854104222307e-05
1.0,3.5,0.9698026165776815,0.0,5.551115123125783e-16,-1.303558837254507e-05
1.0,3.5250000000000004,0.9705481926308928,0.0,4.440892098500626e-16,-1.2093682203088644e-05
1.0,3.5500000000000003,0.9712753603457606,0.0,8.881784197001252e-16,-1.1219834889643094e-05
1.0,3.575,0.9719845742257782,0.0,5.551115123125783e-16,-1.040912873654824e-05
1.0,3.6,0.9726762775527075,0.0,8.881784197001252e-16,-9.657001383688085e-06
1.0,3.625,0.9733509026636445,0.0,9.992007221626409e-16,-8.959220131182436e-06
1.0,3.6500000000000004,0.9740088712212447,0.0,4.440892098500626e-16,-8.311858119287966e-06
1.0,3.6750000000000003,0.9746505944772751,0.0,6.661338147750939e-16,-7.71127222945652e-06
1.0,3.7,0.9752764735296606,0.0,5.551115123125783e-16,-7.154082582184728e-06
1.0,3.725,0.9758868995731831,0.0,5.551115123125783e-16,-6.637153516278521e-06
1.0,3.75,0.9764822541439909,0.0,4.440892098500626e-16,-6.15757594248998e-06
1.0,3.7750000000000004,0.977062909358071,0.0,9.992007221626409e-16,-5.71265097221849e-06
1.0,3.8000000000000003,0.9776292281438345,0.0,5.551115123125783e-16,-5.299874729144106e-06
1.0,3.825,0.9781815644689572,0.0,9.992007221626409e-16,-4.916924258320798e-06
1.0,3.85,0.9787202635616228,0.0,6.661338147750939e-16,-4.561644453427905e-06
1.0,3.875,0.9792456621263003,0.0,-1.1102230246251565e-16,-4.23203592861456e-06
1.0,3.9000000000000004,0.9797580885541957,0.0,5.551115123125783e-16,-3.9262437666804634e-06
1.0,3.9250000000000003,0.9802578631285073,0.0,5.551115123125783e-16,-3.642547080275909e-06
1.0,3.95,0.9807452982246131,0.0,3.3306690738754696e-16,-3.379349327371183e-06
1.0,3.975,0.9812206985053156,0.0,8.881784197001252e-16,-3.1351693264973332e-06
1.0,4.0,0.9816843611112658,0.0,2.220446049250313e-16,-2.908632921194939e-06
1.0,4.025,0.982136575846686,0.0,-5.551115123125783e-17,-2.6984652467593244e-06
1.0,4.05,0.9825776253605065,0.0,2.220446049250313e-16,-2.5034835557650444e-06
1.0,4.075,0.9830077853230309,0.0,4.440892098500626e-16,-2.3225905619916587e-06
1.0,4.1000000000000005,0.9834273245982388,0.0,0.0,-2.1547682652958844e-06
1.0,4.125,0.9838365054118341,0.0,7.771561172376096e-16,-1.9990722226757564e-06
1.0,4.15,0.9842355835151455,0.0,1.1102230246251565e-16,-1.8546262332878127e-06
1.0,4.175,0.9846248083449786,0.0,8.881784197001252e-16,-1.7206174075068815e-06
1.0,4.2,0.9850044231795223,0.0,3.3306690738754696e-16,-1.5962915922779732e-06
1.0,4.2250000000000005,0.9853746652904057,0.0,9.992007221626409e-16,-1.4809491270169147e-06
1.0,4.25,0.9857357660910008,0.0,5.551115123125783e-16,-1.3739409061738919e-06
1.0,4.275,0.9860879512810624,0.0,7.771561172376096e-16,-1.2746647263031527e-06
1.0,4.3,0.9864314409877991,0.0,-5.551115123125783e-17,-1.1825618970805336e-06
1.0,4.325,0.9867664499034591,0.0,5.551115123125783e-16,-1.0971140971967658e-06
